VERTEX_ID, WORLD_X, WORLD_Y, WORLD_Z, SCREEN_X, SCREEN_Y, DEPTH
0, 45.86, -968.53, -3.15, 294.63, 1003.90, 206.1984
1, 24.98, -1063.53, -3.15, 1582.60, 1027.18, 191.3847
2, 45.86, -968.53, 67.31, 308.23, 103.43, 210.4999
3, 24.98, -1063.53, 67.31, 1568.91, 58.04, 195.6862
4, 47.62, -969.48, -3.15, 311.15, 1001.28, 208.0118
5, 49.37, -970.43, -3.15, 327.41, 998.71, 209.8215
6, 51.13, -971.38, -3.15, 343.42, 996.19, 211.6272
7, 52.60, -972.53, -3.15, 361.05, 994.07, 213.1666
8, 53.73, -973.91, -3.15, 380.60, 992.43, 214.3764
9, 54.55, -975.30, -3.15, 399.64, 991.20, 215.2866
10, 53.91, -976.75, -3.15, 416.72, 991.93, 214.7428
11, 52.86, -978.00, -3.15, 430.55, 993.25, 213.7692
12, 51.14, -978.85, -3.15, 438.49, 995.52, 212.1127
13, 49.40, -979.68, -3.15, 446.22, 997.85, 210.4292
14, 47.46, -980.20, -3.15, 449.79, 1000.54, 208.5278
15, 45.51, -980.73, -3.15, 453.39, 1003.28, 206.6248
16, 43.56, -981.23, -3.15, 456.81, 1006.09, 204.7125
17, 41.57, -981.63, -3.15, 458.79, 1009.02, 202.7494
18, 39.57, -982.02, -3.15, 460.81, 1012.01, 200.7862
19, 37.57, -982.42, -3.15, 462.86, 1015.06, 198.8228
20, 35.58, -982.79, -3.15, 464.65, 1018.17, 196.8621
21, 33.59, -983.16, -3.15, 466.43, 1021.34, 194.9018
22, 31.60, -983.53, -3.15, 468.24, 1024.57, 192.9414
23, 29.65, -983.93, -3.15, 470.62, 1027.80, 191.0214
24, 27.72, -984.35, -3.15, 473.41, 1031.05, 189.1302
25, 25.80, -984.78, -3.15, 476.25, 1034.36, 187.2386
26, 24.00, -985.30, -3.15, 480.76, 1037.49, 185.4848
27, 22.30, -985.88, -3.15, 486.48, 1040.50, 183.8288
28, 20.71, -986.51, -3.15, 493.08, 1043.37, 182.2831
29, 19.76, -987.39, -3.15, 504.60, 1045.05, 181.3875
30, 19.38, -988.32, -3.15, 517.88, 1045.65, 181.0669
31, 19.95, -989.39, -3.15, 534.56, 1044.44, 181.7097
32, 21.09, -990.36, -3.15, 550.42, 1042.20, 182.9081
33, 22.69, -991.26, -3.15, 565.51, 1039.17, 184.5562
34, 24.28, -992.15, -3.15, 580.37, 1036.21, 186.1974
35, 25.95, -993.05, -3.15, 594.96, 1033.17, 187.9142
36, 27.72, -993.92, -3.15, 609.20, 1030.01, 189.7289
37, 29.48, -994.80, -3.15, 623.17, 1026.92, 191.5436
38, 31.25, -995.68, -3.15, 636.88, 1023.88, 193.3582
39, 32.96, -996.61, -3.15, 651.00, 1020.97, 195.1236
40, 34.52, -997.69, -3.15, 666.87, 1018.36, 196.7402
41, 36.07, -998.78, -3.15, 682.51, 1015.80, 198.3520
42, 37.44, -999.95, -3.15, 699.00, 1013.54, 199.7995
43, 38.47, -1001.30, -3.15, 717.48, 1011.82, 200.9074
44, 39.21, -1002.70, -3.15, 736.23, 1010.57, 201.7283
45, 39.26, -1004.18, -3.15, 755.87, 1010.34, 201.8788
46, 38.73, -1005.54, -3.15, 773.82, 1011.02, 201.4285
47, 37.86, -1006.81, -3.15, 790.70, 1012.23, 200.6415
48, 36.65, -1007.89, -3.15, 805.19, 1013.98, 199.5112
49, 35.43, -1008.93, -3.15, 819.29, 1015.78, 198.3630
